"last_name, first_name","player_id","year","ff_avg_speed","ff_avg_spin","ff_avg_break_x","ff_avg_break_z","sl_avg_speed","sl_avg_spin","sl_avg_break_x","sl_avg_break_z","ch_avg_speed","ch_avg_spin","ch_avg_break_x","ch_avg_break_z"
"Gomber, Austin","596295","2024","90.4","2181","7.6","-16.3","83.8","2410","-5.1","-35.3","81.1","1664","10.1","-31"
"Canning, Griffin","656288","2024","93.4","2116","-8.1","-15.3","87.8","2670","-0.3","-36.6","88.6","1772","-16.4","-30.6"
"Houck, Tanner","656557","2024",,,,,,,,,,,,
"Anderson, Tyler","542881","2024","89.4","2194","4.2","-14.6","81.2","2372","-3.7","-36.9","78.9","1883","12.6","-31.7"
"Sears, JP","676664","2024","91.9","2090","11.6","-17.7","79.4","2399","-6.5","-35.6","84","1675","16.5","-36.3"
"Sánchez, Cristopher","650911","2024",,,,,"84.4","2021","-1","-41.6","85.1","2021","17.9","-37.2"
"Irvin, Jake","663623","2024","94","2377","-10.1","-16.6","85.9","2578","6","-33.9","88.4","2224","-16","-30.5"
"Corbin, Patrick","571578","2024","91.3","2128","8.3","-18.8","80","2202","-2.8","-42.5","81","1570","12.7","-32"
"Kirby, George","669923","2024","96","2230","-9.4","-13.9","87.2","2362","7.6","-38.3",,,,
"Glasnow, Tyler","607192","2024","96.3","2559","-0.3","-13.1","90","2714","2.5","-33.1",,,,
"Pepiot, Ryan","686752","2024","94.9","2377","-8.8","-11.2","89","2529","6.4","-26.2","85.8","2475","-15.4","-34.9"
"Rodriguez, Grayson","680570","2024","96.1","2285","-12.6","-13.9","86.5","2467","5.3","-34.5","83.1","1740","-12.2","-37.7"
"Lugo, Seth","607625","2024","92.2","2364","-6.7","-16.6","86.7","2647","4.3","-31.5","87.4","1857","-14.9","-31.2"
"Crochet, Garrett","676979","2024","97.1","2500","8.1","-13.5","85.5","2493","-2.8","-28.2","90.9","2082","15.9","-24.1"
"López, Reynaldo","625643","2024","95.5","2072","-7.4","-13.6","84.9","2355","5.5","-39.6","86.1","1556","-10.2","-25.9"
"Peterson, David","656849","2024","93.2","2141","6.8","-18","85.1","2338","-2.6","-38.2","84.7","1635","14.7","-34.5"
"Webb, Logan","657277","2024","92.5","2071","-8.2","-21.7",,,,,"87.4","1460","-9.9","-40.5"
"Pallante, Andre","669467","2024","94.5","2248","-0.1","-21","87.5","2374","5","-37",,,,
"Lynn, Lance","458681","2024","92.3","2454","-4.1","-19.1",,,,,"84.8","1761","-13.9","-30.9"
"Greene, Hunter","668881","2024","97.6","2379","-8.9","-12.2","86.8","2379","6.1","-32.3",,,,
"Marsh, Alec","679525","2024","94.1","2499","-9.7","-15.9","86.6","2466","3.3","-36","86.4","1749","-14.7","-33.2"
"Bradley, Taj","671737","2024","96.3","2303","-5.7","-11",,,,,,,,
"Kremer, Dean","665152","2024","93.3","2274","-7.8","-13.6",,,,,,,,
"Pivetta, Nick","601713","2024","93.9","2313","-4.1","-11.2","83.8","2428","3.6","-44.1",,,,
"Ortiz, Luis","682847","2024","95.9","2277","-11.4","-18.4","85.8","2441","6.5","-34.8","90.6","1764","-16","-28.8"
"Gallen, Zac","668678","2024","93.7","2290","-4.7","-14.3","86.9","2450","5.4","-33.2","86.6","1535","-11.9","-31.3"
"Flaherty, Jack","656427","2024","93.4","2259","-4.1","-15.9","84.8","2470","6.7","-35.9","85.7","1610","-12.1","-32.1"
"Montgomery, Jordan","656756","2024","92.1","2290","5.3","-17.1","84.2","2372","-3","-35.4","83.1","1606","10.2","-27.8"
"Hendricks, Kyle","543294","2024","87.7","2089","-6","-21",,,,,"80.9","2171","-10.8","-33.4"
"Pérez, Martín","527048","2024","91.3","2054","10.9","-18.1","82.8","2243","-2.8","-33.6","83.4","1672","14.5","-31.3"
"Abbott, Andrew","671096","2024","92.8","2254","8.9","-15.5","85.1","2613","-4.5","-26.7","84.8","2115","14.8","-25.6"
"Falter, Bailey","663559","2024","91.8","2031","2.6","-14.8","86","1983","-3.4","-30.7",,,,
"Blanco, Ronel","669854","2024","93.5","2228","-7.3","-12.9","86.4","2091","2.2","-28.8","85.2","1485","-13.4","-32.5"
"Peralta, Freddy","642547","2024","94.3","2437","-6.8","-14.2","81.4","2348","7.7","-39","87.7","1731","-15.5","-31.3"
"Morton, Charlie","450203","2024","94.1","2250","-13.7","-20.4",,,,,"84.9","2171","-17.2","-37.9"
"Spence, Mitch","687765","2024",,,,,"84.3","2764","14.9","-39.5","88.5","1467","-8.9","-31.3"
"Quantrill, Cal","615698","2024",,,,,,,,,"84.9","1564","-11.5","-29.6"
"Parker, Mitchell","680730","2024","92.5","2192","5.3","-14.4","84.5","2295","-5.7","-34.7",,,,
